ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,codigo_tiempo,fecha_extraccion,temperatura_categoria,estado_clima,clima_severo
Sao Paulo,Brazil,-23.5505,-46.6333,21.3,22.2,95,8.5,Overcast,122,2026-04-09 07:38:01.020511,Templado,Nublado,False
Mexico City,Mexico,19.4326,-99.1332,25.6,27.7,49,15.8,Light Rain,293,2026-04-10 05:36:01.020550,Cálido,Lluvia ligera,False
Sao Paulo,Brazil,-23.5505,-46.6333,23.0,21.1,85,0.7,Patchy Rain Nearby,176,2026-03-25 19:00:01.020590,Templado,Lluvia ligera,False
Miami,Usa,25.7617,-80.1918,31.0,31.8,72,11.9,Light Rain,293,2026-04-04 18:20:01.020629,Muy cálido,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,16.4,15.7,72,7.4,Partly Cloudy,116,2026-03-26 20:21:01.020679,Frío,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,29.1,30.9,94,19.1,Overcast,122,2026-04-03 13:18:01.020779,Cálido,Nublado,False
Cartagena,Colombia,10.391,-75.4794,29.6,30.3,89,7.0,Sunny,113,2026-03-22 17:35:01.020929,Cálido,Despejado,False
Bogota,Colombia,4.711,-74.0721,28.8,30.4,35,10.6,Moderate Rain,302,2026-04-11 14:06:01.020976,Cálido,Lluvia moderada,False
Medellin,Colombia,6.2442,-75.5812,25.6,26.6,55,5.7,Thundery Outbreaks,200,2026-03-22 16:48:01.021018,Cálido,Tormenta,True
Miami,Usa,25.7617,-80.1918,27.4,29.1,80,6.2,Cloudy,119,2026-04-12 18:47:01.021058,Cálido,Nublado,False
Miami,Usa,25.7617,-80.1918,27.8,26.3,100,19.6,Cloudy,119,2026-04-09 22:10:01.021149,Cálido,Nublado,False
Tokyo,Japan,35.6895,139.6917,23.5,21.2,60,0.5,Heavy Rain,308,2026-04-06 03:19:01.021270,Templado,Lluvia fuerte,False
Cali,Colombia,3.4516,-76.532,22.8,21.4,89,6.5,Patchy Rain Nearby,176,2026-03-20 07:47:01.021338,Templado,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,22.0,18.2,48,14.8,Light Rain,293,2026-04-07 22:25:01.021382,Templado,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,28.1,26.1,89,5.2,Sunny,113,2026-04-02 00:04:01.021616,Cálido,Despejado,False
Mexico City,Mexico,19.4326,-99.1332,19.7,23.5,45,1.4,Patchy Rain Nearby,176,2026-04-08 23:24:01.021672,Templado,Lluvia ligera,False
Cartagena,Colombia,10.391,-75.4794,33.0,34.2,89,10.8,Overcast,122,2026-03-21 18:51:01.021713,Muy cálido,Nublado,False
Lima,Peru,-12.0464,-77.0428,22.4,25.1,78,12.2,Patchy Snow Showers,392,2026-04-11 13:22:01.021753,Templado,Nieve ligera,False
Cali,Colombia,3.4516,-76.532,26.3,26.9,63,15.9,Light Rain,293,2026-03-21 17:23:01.021792,Cálido,Lluvia ligera,False
Sao Paulo,Brazil,-23.5505,-46.6333,25.6,25.5,89,18.6,Heavy Rain,308,2026-03-19 20:32:01.021831,Cálido,Lluvia fuerte,False
Bogota,Colombia,4.711,-74.0721,19.8,23.2,64,19.4,Sunny,113,2026-03-23 20:59:01.021871,Templado,Despejado,False
Bogota,Colombia,4.711,-74.0721,15.6,17.2,68,10.9,Overcast,122,2026-04-01 16:40:01.021996,Frío,Nublado,False
Madrid,Spain,40.4168,-3.7038,14.5,16.2,58,9.8,Partly Cloudy,116,2026-03-17 17:55:01.022073,Frío,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,27.3,26.5,68,5.5,Sunny,113,2026-03-30 04:18:01.022118,Cálido,Despejado,False
Medellin,Colombia,6.2442,-75.5812,24.1,26.4,67,8.2,Sunny,113,2026-04-10 06:02:01.022188,Cálido,Despejado,False
Madrid,Spain,40.4168,-3.7038,18.3,16.4,80,3.0,Patchy Rain Nearby,176,2026-04-06 11:21:01.022229,Templado,Lluvia ligera,False
Lima,Peru,-12.0464,-77.0428,17.6,15.5,69,16.3,Sunny,113,2026-04-15 02:34:01.022268,Frío,Despejado,False
Sao Paulo,Brazil,-23.5505,-46.6333,28.4,25.8,89,4.5,Sunny,113,2026-03-26 07:12:01.022306,Cálido,Despejado,False
Tokyo,Japan,35.6895,139.6917,20.8,20.3,74,8.3,Overcast,122,2026-03-18 18:50:01.022346,Templado,Nublado,False
Medellin,Colombia,6.2442,-75.5812,25.7,25.9,78,14.9,Sunny,113,2026-03-24 09:54:01.022385,Cálido,Despejado,False
Miami,Usa,25.7617,-80.1918,24.9,21.7,63,16.7,Sunny,113,2026-04-08 01:27:01.022424,Cálido,Despejado,False
Cartagena,Colombia,10.391,-75.4794,25.8,27.7,100,15.8,Cloudy,119,2026-04-15 19:46:01.022465,Cálido,Nublado,False
Miami,Usa,25.7617,-80.1918,27.1,24.2,71,11.9,Moderate Rain,302,2026-03-31 06:35:01.022511,Cálido,Lluvia moderada,False
Sao Paulo,Brazil,-23.5505,-46.6333,25.9,23.7,79,0.3,Partly Cloudy,116,2026-04-09 00:59:01.022659,Cálido,Parcialmente nublado,False
Mexico City,Mexico,19.4326,-99.1332,21.6,20.3,62,9.9,Partly Cloudy,116,2026-03-30 00:41:01.022771,Templado,Parcialmente nublado,False
Mexico City,Mexico,19.4326,-99.1332,35.0,35.4,81,8.3,Overcast,122,2026-03-20 05:24:01.022817,Muy cálido,Nublado,False
Mexico City,Mexico,19.4326,-99.1332,24.9,29.5,76,3.7,Light Drizzle,266,2026-03-20 22:26:01.022869,Cálido,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,24.5,24.1,54,7.3,Cloudy,119,2026-04-07 07:14:01.022909,Cálido,Nublado,False
Madrid,Spain,40.4168,-3.7038,12.3,9.1,69,4.7,Light Drizzle,266,2026-04-07 05:05:01.022948,Frío,Lluvia ligera,False
Tokyo,Japan,35.6895,139.6917,15.9,16.2,69,12.5,Patchy Snow Showers,392,2026-03-24 14:13:01.022988,Frío,Nieve ligera,False
Sao Paulo,Brazil,-23.5505,-46.6333,27.0,30.4,62,7.5,Partly Cloudy,116,2026-03-19 04:43:01.023026,Cálido,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,22.8,20.6,73,7.7,Cloudy,119,2026-04-15 18:33:01.023064,Templado,Nublado,False
Cali,Colombia,3.4516,-76.532,25.6,28.3,68,0.2,Partly Cloudy,116,2026-04-12 01:55:01.023103,Cálido,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,30.9,31.8,65,1.1,Patchy Rain Nearby,176,2026-04-03 13:48:01.023142,Muy cálido,Lluvia ligera,False
Cartagena,Colombia,10.391,-75.4794,30.8,33.4,86,8.3,Cloudy,119,2026-04-08 07:10:01.023193,Muy cálido,Nublado,False
Lima,Peru,-12.0464,-77.0428,24.0,26.1,60,10.1,Patchy Rain Nearby,176,2026-03-27 19:16:01.023234,Templado,Lluvia ligera,False
London,Uk,51.5074,-0.1278,20.4,18.2,40,1.8,Partly Cloudy,116,2026-04-03 13:47:01.023273,Templado,Parcialmente nublado,False
Cartagena,Colombia,10.391,-75.4794,29.0,27.6,100,17.6,Partly Cloudy,116,2026-03-28 03:16:01.023313,Cálido,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,15.2,15.9,69,4.3,Heavy Rain,308,2026-04-01 14:50:01.023352,Frío,Lluvia fuerte,False
Cartagena,Colombia,10.391,-75.4794,31.6,32.9,90,14.9,Moderate Rain,302,2026-03-26 22:35:01.023390,Muy cálido,Lluvia moderada,False
Miami,Usa,25.7617,-80.1918,32.9,33.7,82,8.5,Light Drizzle,266,2026-04-09 06:29:01.023428,Muy cálido,Lluvia ligera,False
Madrid,Spain,40.4168,-3.7038,18.1,17.2,34,9.7,Cloudy,119,2026-03-21 23:29:01.023467,Templado,Nublado,False
Madrid,Spain,40.4168,-3.7038,9.0,11.3,57,13.4,Heavy Rain,308,2026-04-11 22:23:01.023506,Muy frío,Lluvia fuerte,False
Miami,Usa,25.7617,-80.1918,31.6,32.6,72,13.2,Sunny,113,2026-04-05 16:09:01.023553,Muy cálido,Despejado,False
Bogota,Colombia,4.711,-74.0721,14.6,14.7,77,6.9,Light Drizzle,266,2026-03-24 00:24:01.023615,Frío,Lluvia ligera,False
Miami,Usa,25.7617,-80.1918,28.5,27.0,68,13.8,Thundery Outbreaks,200,2026-04-04 01:25:01.023655,Cálido,Tormenta,True
Miami,Usa,25.7617,-80.1918,34.0,36.5,86,15.0,Cloudy,119,2026-04-13 14:58:01.023694,Muy cálido,Nublado,False
Cali,Colombia,3.4516,-76.532,32.5,31.1,80,4.9,Partly Cloudy,116,2026-04-15 09:16:01.023732,Muy cálido,Parcialmente nublado,False
Lima,Peru,-12.0464,-77.0428,26.1,23.7,69,6.6,Light Drizzle,266,2026-03-20 15:03:01.023771,Cálido,Lluvia ligera,False
Cali,Colombia,3.4516,-76.532,27.1,27.0,73,9.5,Heavy Rain,308,2026-04-08 14:15:01.023811,Cálido,Lluvia fuerte,False
Lima,Peru,-12.0464,-77.0428,17.3,14.3,72,14.3,Sunny,113,2026-03-19 17:27:01.023851,Frío,Despejado,False
Bogota,Colombia,4.711,-74.0721,16.2,15.4,67,2.7,Overcast,122,2026-04-08 19:29:01.023891,Frío,Nublado,False
Miami,Usa,25.7617,-80.1918,27.7,28.1,55,8.7,Sunny,113,2026-04-02 17:04:01.023930,Cálido,Despejado,False
Miami,Usa,25.7617,-80.1918,31.0,27.6,78,4.5,Patchy Rain Nearby,176,2026-04-08 03:59:01.023968,Muy cálido,Lluvia ligera,False
Cali,Colombia,3.4516,-76.532,19.2,16.9,56,8.3,Overcast,122,2026-04-10 03:04:01.024017,Templado,Nublado,False
Bogota,Colombia,4.711,-74.0721,12.3,11.2,84,3.4,Sunny,113,2026-04-03 01:55:01.024055,Frío,Despejado,False
Tokyo,Japan,35.6895,139.6917,23.1,19.2,52,9.4,Light Rain,293,2026-04-15 08:50:01.024151,Templado,Lluvia ligera,False
Cali,Colombia,3.4516,-76.532,22.3,21.9,64,10.8,Patchy Rain Nearby,176,2026-03-29 07:06:01.024210,Templado,Lluvia ligera,False
Madrid,Spain,40.4168,-3.7038,16.2,18.5,38,11.9,Sunny,113,2026-04-08 02:31:01.024251,Frío,Despejado,False
Medellin,Colombia,6.2442,-75.5812,21.6,20.5,61,6.2,Partly Cloudy,116,2026-03-21 03:12:01.024291,Templado,Parcialmente nublado,False
London,Uk,51.5074,-0.1278,12.5,13.3,53,19.6,Overcast,122,2026-04-09 22:09:01.024329,Frío,Nublado,False
London,Uk,51.5074,-0.1278,14.3,13.6,71,17.1,Partly Cloudy,116,2026-04-08 08:05:01.024368,Frío,Parcialmente nublado,False
Mexico City,Mexico,19.4326,-99.1332,25.7,22.6,69,1.6,Light Drizzle,266,2026-03-29 10:13:01.024406,Cálido,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,13.9,12.4,84,0.6,Sunny,113,2026-03-17 23:07:01.024511,Frío,Despejado,False
Tokyo,Japan,35.6895,139.6917,24.3,25.7,67,3.7,Partly Cloudy,116,2026-04-04 20:54:01.024585,Cálido,Parcialmente nublado,False
Barranquilla,Colombia,10.9685,-74.7813,30.0,31.8,71,16.9,Heavy Rain,308,2026-04-06 03:14:01.024628,Cálido,Lluvia fuerte,False
Bogota,Colombia,4.711,-74.0721,8.3,8.0,74,7.9,Light Drizzle,266,2026-03-27 15:50:01.024670,Muy frío,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,27.2,26.3,88,13.0,Cloudy,119,2026-04-14 01:15:01.024710,Cálido,Nublado,False
Medellin,Colombia,6.2442,-75.5812,15.1,16.3,64,3.5,Patchy Rain Nearby,176,2026-04-15 04:18:01.024759,Frío,Lluvia ligera,False
Cali,Colombia,3.4516,-76.532,22.6,24.4,63,13.4,Cloudy,119,2026-03-31 18:26:01.024836,Templado,Nublado,False
Bogota,Colombia,4.711,-74.0721,20.1,19.9,58,1.5,Overcast,122,2026-03-25 15:22:01.024889,Templado,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,21.4,20.6,100,8.4,Sunny,113,2026-04-14 03:24:01.024961,Templado,Despejado,False
Lima,Peru,-12.0464,-77.0428,13.0,11.7,75,7.9,Patchy Rain Nearby,176,2026-03-27 08:55:01.025064,Frío,Lluvia ligera,False
Tokyo,Japan,35.6895,139.6917,20.4,19.3,42,9.6,Sunny,113,2026-03-19 02:15:01.025201,Templado,Despejado,False
Cali,Colombia,3.4516,-76.532,29.8,30.1,71,1.0,Sunny,113,2026-03-23 10:00:01.025322,Cálido,Despejado,False
Mexico City,Mexico,19.4326,-99.1332,28.3,27.6,65,1.0,Partly Cloudy,116,2026-03-24 13:11:01.025381,Cálido,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,18.8,20.2,68,14.3,Cloudy,119,2026-03-19 04:49:01.025433,Templado,Nublado,False
Bogota,Colombia,4.711,-74.0721,22.4,21.7,67,17.2,Heavy Rain,308,2026-03-27 22:38:01.025474,Templado,Lluvia fuerte,False
Tokyo,Japan,35.6895,139.6917,21.0,20.2,66,2.3,Patchy Rain Nearby,176,2026-03-31 18:53:01.025514,Templado,Lluvia ligera,False
Cartagena,Colombia,10.391,-75.4794,34.5,34.6,76,16.3,Light Rain,293,2026-04-02 11:00:01.025553,Muy cálido,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,13.2,11.4,65,0.0,Overcast,122,2026-03-25 18:28:01.025591,Frío,Nublado,False
Barranquilla,Colombia,10.9685,-74.7813,25.8,25.2,72,5.1,Partly Cloudy,116,2026-04-12 12:36:01.025630,Cálido,Parcialmente nublado,False
Bogota,Colombia,4.711,-74.0721,15.3,18.3,68,11.1,Sunny,113,2026-04-11 00:56:01.025668,Frío,Despejado,False
Cali,Colombia,3.4516,-76.532,24.0,24.4,76,5.6,Moderate Rain,302,2026-03-27 18:05:01.025707,Templado,Lluvia moderada,False
Madrid,Spain,40.4168,-3.7038,13.3,17.3,48,13.4,Overcast,122,2026-03-19 02:43:01.025757,Frío,Nublado,False
Madrid,Spain,40.4168,-3.7038,16.9,18.1,73,8.9,Overcast,122,2026-04-10 23:40:01.025797,Frío,Nublado,False
Medellin,Colombia,6.2442,-75.5812,27.7,24.5,76,12.4,Partly Cloudy,116,2026-04-09 05:30:01.025838,Cálido,Parcialmente nublado,False
Barranquilla,Colombia,10.9685,-74.7813,35.3,37.4,98,10.6,Light Drizzle,266,2026-04-13 14:05:01.025877,Muy cálido,Lluvia ligera,False
Tokyo,Japan,35.6895,139.6917,23.7,27.9,51,8.1,Sunny,113,2026-03-29 19:06:01.025918,Templado,Despejado,False
Cali,Colombia,3.4516,-76.532,24.1,24.2,74,16.8,Partly Cloudy,116,2026-03-21 15:48:01.025973,Cálido,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,22.6,24.0,77,8.9,Patchy Rain Nearby,176,2026-03-26 03:54:01.026017,Templado,Lluvia ligera,False
Lima,Peru,-12.0464,-77.0428,23.7,23.7,87,13.3,Cloudy,119,2026-04-07 07:03:01.026056,Templado,Nublado,False
Bogota,Colombia,4.711,-74.0721,13.2,13.8,88,5.5,Sunny,113,2026-04-01 13:15:01.026093,Frío,Despejado,False
Sao Paulo,Brazil,-23.5505,-46.6333,29.4,30.4,81,4.5,Partly Cloudy,116,2026-04-13 16:12:01.026131,Cálido,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,19.4,20.2,71,5.2,Sunny,113,2026-03-24 05:41:01.026180,Templado,Despejado,False
Cali,Colombia,3.4516,-76.532,19.7,20.2,76,7.7,Thundery Outbreaks,200,2026-04-13 00:48:01.026221,Templado,Tormenta,True
Miami,Usa,25.7617,-80.1918,22.2,22.0,72,19.8,Sunny,113,2026-03-27 03:42:01.026259,Templado,Despejado,False
Tokyo,Japan,35.6895,139.6917,14.6,15.9,53,12.9,Sunny,113,2026-04-01 19:24:01.026395,Frío,Despejado,False
Madrid,Spain,40.4168,-3.7038,15.5,18.6,57,3.8,Sunny,113,2026-03-28 04:53:01.026457,Frío,Despejado,False
Cali,Colombia,3.4516,-76.532,19.3,19.0,50,13.6,Partly Cloudy,116,2026-04-07 18:18:01.026499,Templado,Parcialmente nublado,False
London,Uk,51.5074,-0.1278,19.3,19.1,79,9.7,Patchy Rain Nearby,176,2026-04-07 19:28:01.026539,Templado,Lluvia ligera,False
Miami,Usa,25.7617,-80.1918,38.8,38.2,67,10.2,Partly Cloudy,116,2026-04-14 03:34:01.026577,Muy cálido,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,21.6,23.6,62,18.9,Partly Cloudy,116,2026-04-09 10:32:01.026616,Templado,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,29.0,30.9,100,8.0,Sunny,113,2026-04-13 11:04:01.026655,Cálido,Despejado,False
Medellin,Colombia,6.2442,-75.5812,18.5,18.1,69,13.6,Overcast,122,2026-03-16 23:54:01.026704,Templado,Nublado,False
Cali,Colombia,3.4516,-76.532,30.1,30.4,87,8.0,Light Drizzle,266,2026-03-16 09:25:01.026745,Muy cálido,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,20.9,21.8,46,21.5,Moderate Rain,302,2026-04-08 12:47:01.026788,Templado,Lluvia moderada,False
Cali,Colombia,3.4516,-76.532,22.7,21.5,100,9.6,Heavy Snow,395,2026-03-31 00:28:01.026828,Templado,Nieve fuerte,True
Barranquilla,Colombia,10.9685,-74.7813,33.5,33.3,61,10.7,Cloudy,119,2026-04-06 17:47:01.026867,Muy cálido,Nublado,False
Tokyo,Japan,35.6895,139.6917,23.7,24.4,55,0.5,Sunny,113,2026-04-12 20:23:01.026905,Templado,Despejado,False
Medellin,Colombia,6.2442,-75.5812,24.5,25.4,83,23.1,Sunny,113,2026-03-21 11:05:01.026953,Cálido,Despejado,False
Medellin,Colombia,6.2442,-75.5812,22.8,24.1,45,9.4,Moderate Rain,302,2026-04-10 04:01:01.026993,Templado,Lluvia moderada,False
London,Uk,51.5074,-0.1278,9.6,7.6,78,7.8,Sunny,113,2026-03-25 00:55:01.027031,Muy frío,Despejado,False
Bogota,Colombia,4.711,-74.0721,12.9,14.3,82,8.6,Partly Cloudy,116,2026-04-10 14:25:01.027069,Frío,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,25.5,25.3,70,0.2,Cloudy,119,2026-04-14 11:34:01.027299,Cálido,Nublado,False
Cali,Colombia,3.4516,-76.532,27.3,27.1,67,3.7,Sunny,113,2026-03-16 23:31:01.027354,Cálido,Despejado,False
London,Uk,51.5074,-0.1278,14.0,18.3,80,9.6,Cloudy,119,2026-03-26 12:53:01.027397,Frío,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,23.2,21.9,100,5.7,Cloudy,119,2026-03-18 08:38:01.027436,Templado,Nublado,False
Medellin,Colombia,6.2442,-75.5812,21.9,23.5,70,4.7,Heavy Rain,308,2026-04-13 03:10:01.027476,Templado,Lluvia fuerte,False
Tokyo,Japan,35.6895,139.6917,21.7,22.1,61,12.0,Light Drizzle,266,2026-04-12 09:05:01.027515,Templado,Lluvia ligera,False
Cartagena,Colombia,10.391,-75.4794,28.9,29.4,75,2.3,Patchy Rain Nearby,176,2026-03-29 19:54:01.027553,Cálido,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,29.1,31.9,68,7.3,Sunny,113,2026-03-18 12:54:01.027591,Cálido,Despejado,False
Bogota,Colombia,4.711,-74.0721,20.7,21.3,78,13.4,Light Drizzle,266,2026-03-30 18:42:01.027629,Templado,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,26.8,27.3,57,4.8,Sunny,113,2026-03-17 13:25:01.027667,Cálido,Despejado,False
Bogota,Colombia,4.711,-74.0721,20.2,22.2,88,10.7,Light Rain,293,2026-03-23 11:22:01.027719,Templado,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,27.3,23.7,82,9.7,Patchy Snow Showers,392,2026-04-06 19:58:01.027759,Cálido,Nieve ligera,False
London,Uk,51.5074,-0.1278,11.1,11.7,70,18.8,Sunny,113,2026-04-05 15:39:01.027798,Frío,Despejado,False
Sao Paulo,Brazil,-23.5505,-46.6333,31.1,31.0,71,15.5,Partly Cloudy,116,2026-04-12 21:06:01.027846,Muy cálido,Parcialmente nublado,False
Lima,Peru,-12.0464,-77.0428,20.2,17.5,66,8.2,Overcast,122,2026-03-28 22:59:01.027886,Templado,Nublado,False
Cali,Colombia,3.4516,-76.532,22.0,19.8,74,9.0,Thundery Outbreaks,200,2026-03-16 15:36:01.027925,Templado,Tormenta,True
Cali,Colombia,3.4516,-76.532,29.8,28.0,71,4.8,Overcast,122,2026-03-25 18:06:01.027965,Cálido,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,25.5,21.1,83,12.2,Cloudy,119,2026-03-23 17:10:01.028003,Cálido,Nublado,False
Mexico City,Mexico,19.4326,-99.1332,26.0,27.9,65,6.0,Cloudy,119,2026-04-02 04:13:01.028042,Cálido,Nublado,False
Miami,Usa,25.7617,-80.1918,29.5,30.5,83,10.9,Partly Cloudy,116,2026-04-06 08:52:01.028080,Cálido,Parcialmente nublado,False
Bogota,Colombia,4.711,-74.0721,19.8,14.1,74,11.8,Light Drizzle,266,2026-04-07 08:47:01.028173,Templado,Lluvia ligera,False
Miami,Usa,25.7617,-80.1918,29.9,30.5,56,15.3,Sunny,113,2026-03-28 05:46:01.028248,Cálido,Despejado,False
Tokyo,Japan,35.6895,139.6917,12.1,10.5,73,5.9,Cloudy,119,2026-04-15 03:43:01.028291,Frío,Nublado,False
Madrid,Spain,40.4168,-3.7038,15.4,15.7,63,13.1,Partly Cloudy,116,2026-04-09 17:21:01.028331,Frío,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,21.9,20.0,56,12.9,Overcast,122,2026-03-25 18:09:01.028371,Templado,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,23.8,26.5,90,15.4,Light Drizzle,266,2026-03-16 00:25:01.028412,Templado,Lluvia ligera,False
Sao Paulo,Brazil,-23.5505,-46.6333,30.4,30.0,64,12.4,Overcast,122,2026-03-30 15:00:01.028451,Muy cálido,Nublado,False
Miami,Usa,25.7617,-80.1918,30.3,30.8,91,12.7,Sunny,113,2026-04-01 05:04:01.028489,Muy cálido,Despejado,False
Lima,Peru,-12.0464,-77.0428,25.5,25.6,100,13.9,Partly Cloudy,116,2026-03-16 04:11:01.028528,Cálido,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,22.2,23.0,68,12.1,Moderate Rain,302,2026-04-10 18:10:01.028567,Templado,Lluvia moderada,False
